CODE,MUS302H1-F-20229-LEC-0101
CAP,300
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,41
1657659549,41
1657678570,41
1657700365,41
1657734871,43
1657736010,43
1657737663,43
1657744779,43
1657780708,43
1657815709,43
1657827433,43
1657841414,43
1657851506,43
1657853745,43
1657868013,43
1657911016,72
1657914736,72
1657938194,72
1657991875,73
1658011950,73
1658085371,73
1658086263,73
1658101142,73
1658101460,73
1658117879,73
1658120793,73
1658149259,74
1658163599,74
1658192570,74
1658255570,88
1658255771,88
1658265950,88
1658282790,88
1658284116,88
1658341001,88
1658425295,90
1658438086,90
1658446145,90
1658446771,90
1658459993,90
1658514122,98
