CODE,NFS485H1-F-20229-LEC-0101
CAP,80
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,25
1657659549,25
1657678570,25
1657700365,25
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,26
1657827433,26
1657841414,26
1657851506,26
1657853745,26
1657868013,26
1657911016,30
1657914736,30
1657938194,30
1657991875,28
1658011950,28
1658085371,28
1658086263,28
1658101142,28
1658101460,28
1658117879,28
1658120793,28
1658149259,28
1658163599,28
1658192570,28
1658255570,28
1658255771,28
1658265950,28
1658282790,28
1658284116,28
1658341001,28
1658425295,28
1658438086,28
1658446145,28
1658446771,28
1658459993,28
1658514122,28
1658536177,28
1658552496,28
1658614184,28
1658631640,28
1658698072,28
1658768579,28
1658788810,28
1658856123,28
1658878855,28
1658879061,28
1658965224,28
1659041771,28
1659049567,28
1659055044,28
1659106101,28
1659116089,28
1659126296,28
1659137072,28
1659154611,28
1659160554,28
1659197509,48
1659228141,48
1659229848,48
1659252431,48
1659298084,49
