CODE,NFS489H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,23
1657659549,23
1657678570,23
1657700365,23
1657734871,24
1657736010,24
1657737663,24
1657744779,24
1657780708,24
1657815709,24
1657827433,24
1657841414,24
1657851506,24
1657853745,24
1657868013,24
1657911016,29
1657914736,29
1657938194,29
1657991875,31
1658011950,31
1658085371,31
1658086263,31
1658101142,31
1658101460,31
1658117879,31
1658120793,31
1658149259,30
1658163599,30
1658192570,30
1658255570,30
1658255771,30
1658265950,30
1658282790,30
1658284116,30
1658341001,30
1658425295,30
1658438086,30
1658446145,30
1658446771,30
1658459993,30
1658514122,30
1658536177,30
1658552496,30
1658614184,30
1658631640,30
1658698072,30
1658768579,30
1658788810,30
1658856123,30
1658878855,30
1658879061,30
1658965224,30
1659041771,30
1659049567,30
1659055044,30
1659106101,30
1659116089,30
1659126296,30
1659137072,30
1659154611,30
1659160554,30
1659197509,36
1659228141,36
1659229848,36
1659252431,36
1659298084,35
