CODE,NFS490H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,23
1657659562,23
1657678580,23
1657700377,23
1657734892,25
1657736031,25
1657737680,25
1657744796,25
1657780717,25
1657815723,25
1657827444,25
1657841424,25
1657851524,25
1657853756,25
1657868023,25
1657911025,36
1657914749,36
1657938204,36
1657991885,37
1658011963,37
1658085387,37
1658086283,37
1658101152,37
1658101473,37
1658117893,37
1658120808,37
1658149282,37
1658163609,37
1658192584,37
1658255580,37
1658255781,37
1658265969,37
1658282799,37
1658284132,37
1658341011,37
1658425310,37
1658438101,37
1658446157,37
1658446785,37
1658460004,37
1658514131,37
