CODE,NMC244H1-S-20229-LEC-0101
CAP,25
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,12
1657914749,12
1657938204,12
1657991885,12
1658011963,12
1658085387,12
1658086283,12
1658101152,12
1658101473,12
1658117893,12
1658120808,12
1658149282,12
1658163609,12
1658192584,12
1658255580,23
1658255781,23
1658265969,23
1658282799,23
1658284132,23
1658341011,23
1658425310,24
1658438101,24
1658446157,24
1658446785,24
1658460004,24
1658514131,24
1658536189,24
1658552506,24
1658614194,24
1658631652,24
1658698082,25
1658768591,25
1658788819,25
1658856132,25
1658878866,25
1658879072,25
1658965232,24
1659041782,25
1659049575,25
1659055055,25
1659106110,24
1659116097,24
1659126308,24
1659137081,24
1659154622,24
1659160562,24
1659197518,28
1659228149,28
1659229856,28
1659252439,28
1659298092,28
