CODE,NML110Y1-Y-20229-LEC-0101,NML110Y1-Y-20229-LEC-0201,NML110Y1-Y-20229-LEC-0301
CAP,25,25,25
1656647691,0,0,0
1656655658,0,0,0
1656693725,0,0,0
1656799545,0,0,0
1657039032,0,0,0
1657124785,0,0,0
1657129902,0,0,0
1657154828,0,0,0
1657154929,0,0,0
1657157139,0,0,0
1657169427,0,0,0
1657171607,0,0,0
1657208567,0,0,0
1657224152,0,0,0
1657394890,0,0,0
1657522642,1,0,0
1657560899,1,0,0
1657592485,1,0,0
1657598160,1,0,0
1657657525,2,5,0
1657659552,2,5,0
1657678573,2,5,0
1657700368,2,5,0
1657734875,2,4,1
1657736016,2,4,1
1657737668,2,4,1
1657744785,2,4,1
1657780710,2,4,1
1657815712,2,4,1
1657827436,2,4,1
1657841417,2,4,1
1657851515,2,4,1
1657853748,2,4,1
1657868016,2,4,1
1657911019,5,9,3
1657914739,5,9,3
1657938197,5,9,3
1657991877,5,10,3
1658011954,5,10,3
1658085375,5,10,3
1658086268,5,10,3
1658101144,5,10,3
1658101464,5,10,3
1658117882,5,10,3
1658120797,5,10,3
1658149266,5,10,3
1658163601,5,10,3
1658192573,5,10,3
1658255573,7,20,6
1658255774,7,20,6
1658265957,7,20,6
1658282792,7,20,6
1658284123,7,20,6
1658341004,7,18,7
1658425299,7,20,8
1658438090,7,20,8
1658446148,7,20,8
1658446775,7,20,8
1658459996,7,20,8
1658514124,11,25,10
1658536180,11,25,10
1658552499,11,25,10
1658614187,13,25,10
1658631643,13,25,10
1658698075,13,25,10
1658768582,13,25,10
1658788813,13,25,10
1658856126,13,25,10
1658878858,13,25,10
1658879064,13,25,10
1658965226,15,24,10
1659041774,15,24,10
1659049569,15,24,10
1659055046,15,24,10
1659106104,15,24,10
1659116092,15,24,10
1659126300,15,24,10
1659137075,15,24,10
1659154614,15,24,10
1659160556,15,24,10
1659197512,13,25,11
1659228143,13,25,11
1659229850,13,25,11
1659252433,13,25,11
1659298086,13,26,11
