CODE,NML351H1-S-20229-LEC-0101
CAP,15
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,0
1657659562,0
1657678580,0
1657700377,0
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,3
1657914749,3
1657938204,3
1657991885,3
1658011963,3
1658085387,3
1658086283,3
1658101152,3
1658101473,3
1658117893,3
1658120808,3
1658149282,3
1658163609,3
1658192584,3
1658255580,4
1658255781,4
1658265969,4
1658282799,4
1658284132,4
1658341011,4
1658425310,4
1658438101,4
1658446157,4
1658446785,4
1658460004,4
1658514131,4
1658536189,4
1658552506,4
1658614194,4
1658631652,4
1658698082,4
1658768591,4
1658788819,4
1658856132,4
1658878866,4
1658879072,4
1658965232,4
1659041782,4
1659049575,4
1659055055,4
1659106110,4
1659116097,4
1659126308,4
1659137081,4
1659154622,4
1659160562,4
1659197518,4
1659228149,4
1659229856,4
1659252439,4
1659298092,4
