CODE,PCJ460H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,28
1657659562,28
1657678580,28
1657700377,28
1657734892,28
1657736031,28
1657737680,28
1657744796,28
1657780717,28
1657815723,29
1657827444,29
1657841424,29
1657851524,29
1657853756,29
1657868023,29
1657911025,32
1657914749,32
1657938204,32
1657991885,32
1658011963,32
1658085387,32
1658086283,32
1658101152,32
1658101473,32
1658117893,32
1658120808,32
1658149282,32
1658163609,32
1658192584,32
1658255580,32
1658255781,32
1658265969,32
1658282799,32
1658284132,32
1658341011,32
1658425310,33
1658438101,33
1658446157,33
1658446785,33
1658460004,33
1658514131,33
