CODE,PCL201H1-S-20229-LEC-0101,PCL201H1-S-20229-LEC-2001
CAP,244,6
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,1,0
1657659562,1,0
1657678580,1,0
1657700377,1,0
1657734892,1,0
1657736031,1,0
1657737680,1,0
1657744796,1,0
1657780717,1,0
1657815723,3,0
1657827444,3,0
1657841424,3,0
1657851524,3,0
1657853756,3,0
1657868023,3,0
1657911025,25,0
1657914749,25,0
1657938204,25,0
1657991885,25,0
1658011963,25,0
1658085387,25,0
1658086283,25,0
1658101152,25,0
1658101473,25,0
1658117893,25,0
1658120808,25,0
1658149282,25,0
1658163609,25,0
1658192584,25,0
1658255580,171,0
1658255781,171,0
1658265969,171,0
1658282799,171,0
1658284132,171,0
1658341011,171,0
1658425310,174,0
1658438101,174,0
1658446157,174,0
1658446785,174,0
1658460004,174,0
1658514131,173,0
1658536189,173,0
1658552506,173,0
1658614194,173,0
1658631652,173,0
1658698082,173,0
1658768591,173,0
1658788819,173,0
1658856132,173,0
1658878866,173,0
1658879072,173,0
1658965232,173,0
1659041782,174,0
1659049575,174,0
1659055055,174,0
1659106110,174,0
1659116097,174,0
1659126308,174,0
1659137081,174,0
1659154622,174,0
1659160562,174,0
1659197518,268,0
1659228149,268,0
1659229856,268,0
1659252439,268,0
1659298092,268,0
