CODE,PCL302H1-F-20229-LEC-0101
CAP,160
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,121
1657914736,121
1657938194,121
1657991875,121
1658011950,121
1658085371,121
1658086263,121
1658101142,121
1658101460,121
1658117879,121
1658120793,121
1658149259,121
1658163599,121
1658192570,121
1658255570,121
1658255771,121
1658265950,121
1658282790,121
1658284116,121
1658341001,120
1658425295,121
1658438086,121
1658446145,121
1658446771,121
1658459993,121
1658514122,121
