CODE,PDC320H1-F-20229-LEC-0101,PDC320H1-F-20229-LEC-0201,PDC320H1-F-20229-LEC-0301,PDC320H1-F-20229-LEC-5101
CAP,48,48,48,250
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,0,0,0,0
1657560897,0,0,0,0
1657592482,0,0,0,0
1657598158,0,0,0,0
1657657520,0,1,1,2
1657659549,0,1,1,2
1657678570,0,1,1,2
1657700365,0,1,1,2
1657734871,0,1,1,2
1657736010,0,1,1,2
1657737663,0,1,1,2
1657744779,0,1,1,2
1657780708,0,1,1,2
1657815709,0,1,1,2
1657827433,0,1,1,2
1657841414,0,1,1,2
1657851506,0,1,1,2
1657853745,0,1,1,2
1657868013,0,1,1,2
1657911016,3,13,12,38
1657914736,3,13,12,38
1657938194,3,13,12,38
1657991875,3,14,13,43
1658011950,3,14,13,43
1658085371,3,14,14,43
1658086263,3,14,14,43
1658101142,3,14,14,43
1658101460,3,14,14,43
1658117879,3,14,14,43
1658120793,3,14,14,43
1658149259,3,14,14,47
1658163599,3,14,14,47
1658192570,3,14,14,47
1658255570,3,14,14,53
1658255771,3,14,14,53
1658265950,3,14,14,53
1658282790,3,14,14,53
1658284116,3,14,14,53
1658341001,3,13,14,54
1658425295,3,13,14,55
1658438086,3,13,14,55
1658446145,3,13,14,55
1658446771,3,13,14,55
1658459993,3,13,14,55
1658514122,4,13,14,54
1658536177,4,13,14,54
1658552496,4,13,14,54
1658614184,4,13,14,54
1658631640,4,13,14,54
1658698072,4,13,14,54
1658768579,4,13,14,54
1658788810,4,13,14,54
1658856123,4,14,14,56
1658878855,4,14,14,56
1658879061,4,14,14,56
1658965224,4,14,14,56
1659041771,5,14,14,56
1659049567,5,14,14,56
1659055044,5,14,14,56
1659106101,5,14,14,56
1659116089,5,14,14,56
1659126296,5,14,14,56
1659137072,5,14,14,56
1659154611,5,14,14,56
1659160554,5,14,14,56
1659197509,5,14,11,57
1659228141,5,14,11,57
1659229848,5,14,11,57
1659252431,5,14,11,57
1659298084,5,14,11,58
