CODE,PHY250H1-S-20229-LEC-0101
CAP,196
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,54
1657914749,54
1657938204,54
1657991885,57
1658011963,57
1658085387,57
1658086283,57
1658101152,57
1658101473,57
1658117893,57
1658120808,57
1658149282,57
1658163609,57
1658192584,57
1658255580,232
1658255781,232
1658265969,232
1658282799,232
1658284132,232
1658341011,235
1658425310,238
1658438101,238
1658446157,238
1658446785,238
1658460004,238
1658514131,244
1658536189,244
1658552506,244
1658614194,243
1658631652,243
1658698082,245
1658768591,248
1658788819,248
1658856132,249
1658878866,249
1658879072,249
1658965232,249
1659041782,248
1659049575,248
1659055055,248
1659106110,247
1659116097,247
1659126308,247
1659137081,247
1659154622,247
1659160562,247
1659197518,256
1659228149,256
1659229856,256
1659252439,256
1659298092,256
