CODE,PHY450H1-S-20229-LEC-0101,PHY450H1-S-20229-LEC-2001
CAP,72,15
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,6,4
1657560905,6,4
1657592491,6,4
1657598166,6,4
1657657537,45,5
1657659562,45,5
1657678580,45,5
1657700377,45,5
1657734892,47,5
1657736031,47,5
1657737680,47,5
1657744796,47,5
1657780717,47,5
1657815723,46,6
1657827444,46,6
1657841424,46,6
1657851524,46,6
1657853756,46,6
1657868023,46,6
1657911025,58,6
1657914749,58,6
1657938204,58,6
1657991885,57,6
1658011963,57,6
1658085387,57,6
1658086283,57,6
1658101152,57,6
1658101473,57,6
1658117893,57,6
1658120808,57,6
1658149282,57,6
1658163609,57,6
1658192584,57,6
1658255580,58,6
1658255781,58,6
1658265969,58,6
1658282799,58,6
1658284132,58,6
1658341011,58,6
1658425310,57,6
1658438101,57,6
1658446157,57,6
1658446785,57,6
1658460004,57,6
1658514131,57,6
1658536189,57,6
1658552506,57,6
1658614194,57,6
1658631652,57,6
1658698082,58,6
1658768591,58,6
1658788819,58,6
1658856132,57,6
1658878866,57,6
1658879072,57,6
