CODE,POL214H1-F-20229-LEC-0101
CAP,350
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,57
1657914736,57
1657938194,57
1657991875,58
1658011950,58
1658085371,59
1658086263,59
1658101142,59
1658101460,59
1658117879,59
1658120793,59
1658149259,59
1658163599,59
1658192570,59
1658255570,164
1658255771,164
1658265950,164
1658282790,164
1658284116,164
1658341001,166
1658425295,170
1658438086,170
1658446145,170
1658446771,170
1658459993,170
1658514122,173
1658536177,173
1658552496,173
1658614184,174
1658631640,174
1658698072,175
1658768579,176
1658788810,176
1658856123,178
1658878855,178
1658879061,178
1658965224,178
1659041771,178
1659049567,178
1659055044,178
1659106101,177
1659116089,177
1659126296,177
1659137072,177
1659154611,177
1659160554,177
1659197509,238
1659228141,238
1659229848,238
1659252431,238
1659298084,239
