CODE,POL377H1-S-20229-LEC-0101,POL377H1-S-20229-LEC-0201
CAP,25,70
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,2,2
1657659562,2,2
1657678580,2,2
1657700377,2,2
1657734892,1,3
1657736031,1,3
1657737680,1,3
1657744796,1,3
1657780717,1,3
1657815723,1,3
1657827444,1,3
1657841424,1,3
1657851524,1,3
1657853756,1,3
1657868023,1,3
1657911025,4,10
1657914749,4,10
1657938204,4,10
1657991885,4,10
1658011963,4,10
1658085387,4,10
1658086283,4,10
1658101152,4,10
1658101473,4,10
1658117893,4,10
1658120808,4,10
1658149282,4,10
1658163609,4,10
1658192584,4,10
1658255580,4,11
1658255781,4,11
1658265969,4,11
1658282799,4,11
1658284132,4,11
1658341011,4,12
1658425310,4,11
1658438101,4,11
1658446157,4,11
1658446785,4,11
1658460004,4,11
1658514131,4,12
