CODE,POL379H1-F-20229-LEC-0101,POL379H1-F-20229-LEC-0201,POL379H1-F-20229-LEC-0301
CAP,70,70,70
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,0,0,0
1657560897,0,0,0
1657592482,0,0,0
1657598158,0,0,0
1657657520,8,18,4
1657659549,8,18,4
1657678570,8,18,4
1657700365,8,18,4
1657734871,8,18,4
1657736010,8,18,4
1657737663,8,18,4
1657744779,8,18,4
1657780708,8,18,4
1657815709,8,19,4
1657827433,8,19,4
1657841414,8,19,4
1657851506,8,19,4
1657853745,8,19,4
1657868013,8,19,4
1657911016,13,37,14
1657914736,13,37,14
1657938194,13,37,14
1657991875,13,37,14
1658011950,13,37,14
1658085371,13,37,14
1658086263,13,37,14
1658101142,13,37,14
1658101460,13,37,14
1658117879,13,37,14
1658120793,13,37,14
1658149259,13,37,14
1658163599,13,37,14
1658192570,13,37,14
1658255570,14,38,14
1658255771,14,38,14
1658265950,14,38,14
1658282790,14,38,14
1658284116,14,38,14
1658341001,14,39,13
1658425295,14,39,13
1658438086,14,39,13
1658446145,14,39,13
1658446771,14,39,13
1658459993,14,39,13
1658514122,14,39,13
1658536177,14,39,13
1658552496,14,39,13
1658614184,14,39,13
1658631640,14,39,13
1658698072,14,39,13
1658768579,15,39,13
1658788810,15,39,13
1658856123,15,39,13
1658878855,15,39,13
1658879061,15,39,13
1658965224,15,39,13
1659041771,15,39,14
1659049567,15,39,14
1659055044,15,39,14
1659106101,15,39,14
1659116089,15,39,14
1659126296,15,39,14
1659137072,15,39,14
1659154611,15,39,14
1659160554,15,39,14
1659197509,17,43,15
1659228141,17,43,15
1659229848,17,43,15
1659252431,17,43,15
1659298084,17,43,15
