CODE,POL380H1-F-20229-LEC-0101,POL380H1-F-20229-LEC-0201
CAP,30,70
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,2,0
1657560897,2,0
1657592482,2,0
1657598158,2,0
1657657520,18,13
1657659549,18,13
1657678570,18,13
1657700365,18,13
1657734871,19,13
1657736010,19,13
1657737663,19,13
1657744779,19,13
1657780708,19,13
1657815709,19,13
1657827433,19,13
1657841414,19,13
1657851506,19,13
1657853745,19,13
1657868013,19,13
1657911016,33,39
1657914736,33,39
1657938194,33,39
1657991875,33,39
1658011950,33,39
1658085371,33,40
1658086263,33,40
1658101142,33,40
1658101460,33,40
1658117879,33,40
1658120793,33,40
1658149259,33,40
1658163599,33,40
1658192570,33,40
1658255570,33,46
1658255771,33,46
1658265950,33,46
1658282790,33,46
1658284116,33,46
1658341001,34,47
1658425295,34,47
1658438086,34,47
1658446145,34,47
1658446771,34,47
1658459993,34,47
1658514122,34,48
1658536177,34,48
1658552496,34,48
1658614184,34,48
1658631640,34,48
1658698072,34,48
1658768579,34,49
1658788810,34,49
1658856123,34,49
1658878855,34,49
1658879061,34,49
1658965224,34,50
1659041771,34,50
1659049567,34,50
1659055044,34,50
1659106101,34,50
1659116089,34,50
1659126296,34,50
1659137072,34,50
1659154611,34,50
1659160554,34,50
1659197509,34,61
1659228141,34,61
1659229848,34,61
1659252431,34,61
1659298084,34,62
