CODE,POL486H1-S-20229-LEC-0101,POL486H1-S-20229-LEC-0201,POL486H1-S-20229-LEC-0301
CAP,15,15,15
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,4,10,6
1657560905,4,10,6
1657592491,4,10,6
1657598166,4,10,6
1657657537,8,17,11
1657659562,8,17,11
1657678580,8,17,11
1657700377,8,17,11
1657734892,8,17,11
1657736031,8,17,11
1657737680,8,17,11
1657744796,8,17,11
1657780717,8,17,11
1657815723,8,18,11
1657827444,8,18,11
1657841424,8,18,11
1657851524,8,18,11
1657853756,8,18,11
1657868023,8,18,11
1657911025,8,18,11
1657914749,8,18,11
1657938204,8,18,11
1657991885,8,18,11
1658011963,8,18,11
1658085387,8,18,11
1658086283,8,18,11
1658101152,8,18,11
1658101473,8,18,11
1658117893,8,18,11
1658120808,8,18,11
1658149282,8,18,11
1658163609,8,18,11
1658192584,8,18,11
1658255580,8,19,11
1658255781,8,19,11
1658265969,8,19,11
1658282799,8,19,11
1658284132,8,19,11
1658341011,8,19,11
1658425310,8,19,11
1658438101,8,19,11
1658446157,8,19,11
1658446785,8,19,11
1658460004,8,19,11
1658514131,8,19,11
1658536189,8,19,11
1658552506,8,19,11
1658614194,8,19,11
1658631652,8,19,11
1658698082,8,19,11
1658768591,8,19,11
1658788819,8,19,11
1658856132,8,19,11
1658878866,8,19,11
1658879072,8,19,11
1658965232,8,19,11
1659041782,8,19,11
1659049575,8,19,11
1659055055,8,19,11
