CODE,PPG301H1-F-20229-LEC-5101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,19
1657659549,19
1657678570,19
1657700365,19
1657734871,21
1657736010,21
1657737663,21
1657744779,21
1657780708,21
1657815709,21
1657827433,21
1657841414,21
1657851506,21
1657853745,21
1657868013,21
1657911016,46
1657914736,46
1657938194,46
1657991875,46
1658011950,46
1658085371,47
1658086263,47
1658101142,47
1658101460,47
1658117879,47
1658120793,47
1658149259,47
1658163599,47
1658192570,47
1658255570,47
1658255771,47
1658265950,47
1658282790,47
1658284116,47
1658341001,48
1658425295,48
1658438086,48
1658446145,48
1658446771,48
1658459993,48
1658514122,49
1658536177,49
1658552496,49
1658614184,49
1658631640,49
1658698072,49
1658768579,49
1658788810,49
1658856123,49
1658878855,49
1658879061,49
1658965224,48
1659041771,48
1659049567,48
1659055044,48
