CODE,PSL472H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,47
1657659562,47
1657678580,47
1657700377,47
1657734892,48
1657736031,48
1657737680,48
1657744796,48
1657780717,48
1657815723,48
1657827444,48
1657841424,48
1657851524,48
1657853756,48
1657868023,48
1657911025,48
1657914749,48
1657938204,48
1657991885,48
1658011963,48
1658085387,48
1658086283,48
1658101152,48
1658101473,48
1658117893,48
1658120808,48
1658149282,48
1658163609,48
1658192584,48
1658255580,48
1658255781,48
1658265969,48
1658282799,48
1658284132,48
1658341011,48
1658425310,48
1658438101,48
1658446157,48
1658446785,48
1658460004,48
1658514131,48
1658536189,48
1658552506,48
1658614194,48
1658631652,48
1658698082,48
1658768591,48
1658788819,48
1658856132,48
1658878866,48
1658879072,48
1658965232,48
1659041782,48
1659049575,48
1659055055,48
