CODE,PSY220H1-F-20229-LEC-0101,PSY220H1-F-20229-LEC-0201,PSY220H1-F-20229-LEC-5101
CAP,188,188,188
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,0,0,0
1657560897,0,0,0
1657592482,0,0,0
1657598158,0,0,0
1657657520,12,2,4
1657659549,12,2,4
1657678570,12,2,4
1657700365,12,2,4
1657734871,13,2,5
1657736010,13,2,5
1657737663,13,2,5
1657744779,13,2,5
1657780708,13,2,5
1657815709,13,3,5
1657827433,13,3,5
1657841414,13,3,5
1657851506,13,3,5
1657853745,13,3,5
1657868013,13,3,5
1657911016,41,22,19
1657914736,41,22,19
1657938194,41,22,19
1657991875,40,23,19
1658011950,40,23,19
1658085371,40,23,19
1658086263,40,23,19
1658101142,40,23,19
1658101460,40,23,19
1658117879,40,23,19
1658120793,40,23,19
1658149259,40,23,19
1658163599,40,23,19
1658192570,40,23,19
1658255570,71,73,59
1658255771,71,73,59
1658265950,71,73,59
1658282790,71,73,59
1658284116,71,73,59
1658341001,71,74,59
1658425295,71,75,58
1658438086,71,75,58
1658446145,71,75,58
1658446771,71,75,58
1658459993,71,75,58
1658514122,72,75,59
