CODE,PSY305H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,11
1657659562,11
1657678580,11
1657700377,11
1657734892,11
1657736031,11
1657737680,11
1657744796,11
1657780717,11
1657815723,12
1657827444,12
1657841424,12
1657851524,12
1657853756,12
1657868023,12
1657911025,19
1657914749,19
1657938204,19
1657991885,20
1658011963,20
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,19
1658163609,19
1658192584,19
1658255580,18
1658255781,18
1658265969,18
1658282799,18
1658284132,18
1658341011,18
1658425310,18
1658438101,18
1658446157,18
1658446785,18
1658460004,18
1658514131,18
1658536189,18
1658552506,18
1658614194,19
1658631652,19
1658698082,19
1658768591,19
1658788819,19
1658856132,20
1658878866,20
1658879072,20
1658965232,20
1659041782,20
1659049575,20
1659055055,20
1659106110,20
1659116097,20
1659126308,20
1659137081,20
1659154622,20
1659160562,20
1659197518,27
1659228149,27
1659229856,27
1659252439,27
1659298092,27
