CODE,PSY316H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,12
1657659549,12
1657678570,12
1657700365,12
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,29
1657914736,29
1657938194,29
1657991875,29
1658011950,29
1658085371,29
1658086263,29
1658101142,29
1658101460,29
1658117879,29
1658120793,29
1658149259,29
1658163599,29
1658192570,29
1658255570,34
1658255771,34
1658265950,34
1658282790,34
1658284116,34
1658341001,33
1658425295,33
1658438086,33
1658446145,33
1658446771,33
1658459993,33
1658514122,33
