CODE,PSY328H1-S-20229-LEC-0101,PSY328H1-S-20229-LEC-0201
CAP,50,50
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,11,18
1657659562,11,18
1657678580,11,18
1657700377,11,18
1657734892,11,19
1657736031,11,19
1657737680,11,19
1657744796,11,19
1657780717,11,19
1657815723,11,18
1657827444,11,18
1657841424,11,18
1657851524,11,18
1657853756,11,18
1657868023,11,18
1657911025,51,46
1657914749,51,46
1657938204,51,46
1657991885,50,49
1658011963,50,49
1658085387,50,50
1658086283,50,50
1658101152,50,50
1658101473,50,50
1658117893,50,50
1658120808,50,50
1658149282,50,50
1658163609,50,50
1658192584,50,50
1658255580,61,58
1658255781,61,58
1658265969,61,58
1658282799,61,58
1658284132,61,58
1658341011,61,58
1658425310,61,60
1658438101,61,60
1658446157,61,60
1658446785,61,60
1658460004,61,60
1658514131,61,60
1658536189,61,60
1658552506,61,60
1658614194,63,62
1658631652,63,62
1658698082,63,62
1658768591,62,61
1658788819,62,61
1658856132,63,61
1658878866,63,61
1658879072,63,61
1658965232,63,62
1659041782,63,61
1659049575,63,61
1659055055,63,61
1659106110,63,61
1659116097,63,61
1659126308,63,61
1659137081,63,61
1659154622,63,61
1659160562,63,61
1659197518,78,73
1659228149,78,73
1659229856,78,73
1659252439,78,73
1659298092,77,72
