CODE,PSY336H1-F-20229-LEC-0101,PSY336H1-F-20229-LEC-5101
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,4,1
1657560897,4,1
1657592482,4,1
1657598158,4,1
1657657520,33,59
1657659549,33,59
1657678570,33,59
1657700365,33,59
1657734871,34,59
1657736010,34,59
1657737663,34,59
1657744779,34,59
1657780708,34,59
1657815709,36,62
1657827433,36,62
1657841414,36,62
1657851506,36,62
1657853745,36,62
1657868013,36,62
1657911016,84,86
1657914736,84,86
1657938194,84,86
1657991875,84,86
1658011950,84,86
1658085371,84,87
1658086263,84,87
1658101142,84,87
1658101460,84,87
1658117879,84,87
1658120793,84,87
1658149259,82,87
1658163599,82,87
1658192570,82,87
1658255570,83,88
1658255771,83,88
1658265950,83,88
1658282790,83,88
1658284116,83,88
1658341001,83,88
1658425295,82,87
1658438086,82,87
1658446145,82,87
1658446771,82,87
1658459993,82,87
1658514122,81,86
