CODE,PSY336H1-S-20229-LEC-0101,PSY336H1-S-20229-LEC-0201,PSY336H1-S-20229-LEC-5101
CAP,50,50,50
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,0,0
1657560905,0,0,0
1657592491,0,0,0
1657598166,0,0,0
1657657537,52,19,14
1657659562,52,19,14
1657678580,52,19,14
1657700377,52,19,14
1657734892,52,19,14
1657736031,52,19,14
1657737680,52,19,14
1657744796,52,19,14
1657780717,52,19,14
1657815723,53,19,15
1657827444,53,19,15
1657841424,53,19,15
1657851524,53,19,15
1657853756,53,19,15
1657868023,53,19,15
1657911025,81,65,64
1657914749,81,65,64
1657938204,81,65,64
1657991885,82,65,65
1658011963,82,65,65
1658085387,82,66,66
1658086283,82,66,66
1658101152,82,66,66
1658101473,82,66,66
1658117893,82,66,66
1658120808,82,66,66
1658149282,82,66,65
1658163609,82,66,65
1658192584,82,66,65
1658255580,88,70,71
1658255781,88,70,71
1658265969,88,70,71
1658282799,88,70,71
1658284132,88,70,71
1658341011,86,69,71
1658425310,86,69,72
1658438101,86,69,72
1658446157,86,69,72
1658446785,86,69,72
1658460004,86,69,72
1658514131,85,68,71
1658536189,85,68,71
1658552506,85,68,71
1658614194,85,68,70
1658631652,85,68,70
1658698082,85,68,70
1658768591,85,68,70
1658788819,85,68,70
1658856132,85,69,70
1658878866,85,69,70
1658879072,85,69,70
