CODE,PSY494H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,55
1657659549,55
1657678570,55
1657700365,55
1657734871,54
1657736010,54
1657737663,54
1657744779,54
1657780708,54
1657815709,56
1657827433,56
1657841414,56
1657851506,56
1657853745,56
1657868013,56
1657911016,59
1657914736,59
1657938194,59
1657991875,59
1658011950,59
1658085371,59
1658086263,59
1658101142,59
1658101460,59
1658117879,59
1658120793,59
1658149259,58
1658163599,58
1658192570,58
1658255570,59
1658255771,59
1658265950,59
1658282790,59
1658284116,59
1658341001,60
1658425295,60
1658438086,60
1658446145,60
1658446771,60
1658459993,60
1658514122,60
