CODE,RSM221H1-S-20229-LEC-0101,RSM221H1-S-20229-LEC-0201,RSM221H1-S-20229-LEC-0301,RSM221H1-S-20229-LEC-0401
CAP,50,50,50,50
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,0,0
1657560905,0,0,0,0
1657592491,0,0,0,0
1657598166,0,0,0,0
1657657537,0,0,0,0
1657659562,0,0,0,0
1657678580,0,0,0,0
1657700377,0,0,0,0
1657734892,0,0,0,0
1657736031,0,0,0,0
1657737680,0,0,0,0
1657744796,0,0,0,0
1657780717,0,0,0,0
1657815723,0,0,0,0
1657827444,0,0,0,0
1657841424,0,0,0,0
1657851524,0,0,0,0
1657853756,0,0,0,0
1657868023,0,0,0,0
1657911025,3,3,1,0
1657914749,3,3,1,0
1657938204,3,3,1,0
1657991885,3,3,1,0
1658011963,3,3,1,0
1658085387,3,3,1,0
1658086283,3,3,1,0
1658101152,3,3,1,0
1658101473,3,3,1,0
1658117893,3,3,1,0
1658120808,3,3,1,0
1658149282,3,3,1,0
1658163609,3,3,1,0
1658192584,3,3,1,0
1658255580,50,48,12,4
1658255781,50,48,12,4
1658265969,50,48,12,4
1658282799,50,48,12,4
1658284132,50,48,12,4
1658341011,50,48,12,4
1658425310,50,48,12,4
1658438101,50,48,12,4
1658446157,50,48,12,4
1658446785,50,48,12,4
1658460004,50,48,12,4
1658514131,50,48,12,4
1658536189,50,48,12,4
1658552506,50,48,12,4
1658614194,50,48,12,4
1658631652,50,48,12,4
1658698082,50,48,12,4
1658768591,50,48,12,4
1658788819,50,48,12,4
1658856132,50,48,12,4
1658878866,50,48,12,4
1658879072,50,48,12,4
1658965232,50,48,13,4
1659041782,50,48,13,4
1659049575,50,48,13,4
1659055055,50,48,13,4
1659106110,50,48,13,4
1659116097,50,48,13,4
1659126308,50,48,13,4
1659137081,50,48,13,4
1659154622,50,48,13,4
1659160562,50,48,13,4
1659197518,50,48,14,4
1659228149,50,48,14,4
1659229856,50,48,14,4
1659252439,50,48,14,4
1659298092,50,48,14,4
