CODE,RSM225H1-F-20229-LEC-5101,RSM225H1-F-20229-LEC-5201,RSM225H1-F-20229-LEC-5301
CAP,50,50,50
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,3,0,0
1657560897,3,0,0
1657592482,3,0,0
1657598158,3,0,0
1657657520,4,1,0
1657659549,4,1,0
1657678570,4,1,0
1657700365,4,1,0
1657734871,4,1,0
1657736010,4,1,0
1657737663,4,1,0
1657744779,4,1,0
1657780708,4,1,0
1657815709,4,1,0
1657827433,4,1,0
1657841414,4,1,0
1657851506,4,1,0
1657853745,4,1,0
1657868013,4,1,0
1657911016,13,8,9
1657914736,13,8,9
1657938194,13,8,9
1657991875,13,8,9
1658011950,13,8,9
1658085371,13,8,9
1658086263,13,8,9
1658101142,13,8,9
1658101460,13,8,9
1658117879,13,8,9
1658120793,13,8,9
1658149259,13,8,10
1658163599,13,8,10
1658192570,13,8,10
1658255570,33,27,32
1658255771,33,27,32
1658265950,33,27,32
1658282790,33,27,32
1658284116,33,27,32
1658341001,33,26,31
1658425295,33,26,32
1658438086,33,26,32
1658446145,33,26,32
1658446771,33,26,32
1658459993,33,26,32
1658514122,34,26,32
1658536177,34,26,32
1658552496,34,26,32
1658614184,34,26,32
1658631640,34,26,32
1658698072,34,26,32
1658768579,34,26,32
1658788810,34,26,32
1658856123,34,26,33
1658878855,34,26,33
1658879061,34,26,33
1658965224,34,26,33
1659041771,34,26,33
1659049567,34,26,33
1659055044,34,26,33
1659106101,34,26,33
1659116089,34,26,33
1659126296,34,26,33
1659137072,34,26,33
1659154611,34,26,33
1659160554,34,26,33
1659197509,40,28,33
1659228141,40,28,33
1659229848,40,28,33
1659252431,40,28,33
1659298084,40,28,33
