CODE,RSM250H1-F-20229-LEC-0101,RSM250H1-F-20229-LEC-0201,RSM250H1-F-20229-LEC-0301,RSM250H1-F-20229-LEC-0401,RSM250H1-F-20229-LEC-0501,RSM250H1-F-20229-LEC-0601
CAP,70,70,70,70,70,70
1656647689,0,0,0,0,0,0
1656655656,0,0,0,0,0,0
1656693722,0,0,0,0,0,0
1656799543,0,0,0,0,0,0
1657039029,0,0,0,0,0,0
1657124783,0,0,0,0,0,0
1657129900,0,0,0,0,0,0
1657154826,0,0,0,0,0,0
1657154927,0,0,0,0,0,0
1657157137,0,0,0,0,0,0
1657169424,0,0,0,0,0,0
1657171604,0,0,0,0,0,0
1657208564,0,0,0,0,0,0
1657224150,0,0,0,0,0,0
1657394888,0,0,0,0,0,0
1657522639,4,0,0,0,1,0
1657560897,4,0,0,0,1,0
1657592482,4,0,0,0,1,0
1657598158,4,0,0,0,1,0
1657657520,4,0,0,0,1,0
1657659549,4,0,0,0,1,0
1657678570,4,0,0,0,1,0
1657700365,4,0,0,0,1,0
1657734871,4,0,0,0,1,0
1657736010,4,0,0,0,1,0
1657737663,4,0,0,0,1,0
1657744779,4,0,0,0,1,0
1657780708,4,0,0,0,1,0
1657815709,4,0,0,0,1,0
1657827433,4,0,0,0,1,0
1657841414,4,0,0,0,1,0
1657851506,4,0,0,0,1,0
1657853745,4,0,0,0,1,0
1657868013,4,0,0,0,1,0
1657911016,5,1,0,1,1,0
1657914736,5,1,0,1,1,0
1657938194,5,1,0,1,1,0
1657991875,5,1,1,1,1,0
1658011950,5,1,1,1,1,0
1658085371,5,1,1,1,1,0
1658086263,5,1,1,1,1,0
1658101142,5,1,1,1,1,0
1658101460,5,1,1,1,1,0
1658117879,5,1,1,1,1,0
1658120793,5,1,1,1,1,0
1658149259,5,1,1,1,1,0
1658163599,5,1,1,1,1,0
1658192570,5,1,1,1,1,0
1658255570,8,4,11,3,2,0
1658255771,8,4,11,3,2,0
1658265950,8,4,11,3,2,0
1658282790,8,4,11,3,2,0
1658284116,8,4,11,3,2,0
1658341001,8,4,11,3,2,0
1658425295,9,4,11,3,2,0
1658438086,9,4,11,3,2,0
1658446145,9,4,11,3,2,0
1658446771,9,4,11,3,2,0
1658459993,9,4,11,3,2,0
1658514122,80,71,74,48,61,27
