CODE,RSM325H1-S-20229-LEC-5101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,9
1657736031,9
1657737680,9
1657744796,9
1657780717,9
1657815723,9
1657827444,9
1657841424,9
1657851524,9
1657853756,9
1657868023,9
1657911025,36
1657914749,36
1657938204,36
1657991885,37
1658011963,37
1658085387,37
1658086283,37
1658101152,37
1658101473,37
1658117893,37
1658120808,37
1658149282,38
1658163609,38
1658192584,38
1658255580,42
1658255781,42
1658265969,42
1658282799,42
1658284132,42
1658341011,42
1658425310,44
1658438101,44
1658446157,44
1658446785,44
1658460004,44
1658514131,44
1658536189,44
1658552506,44
1658614194,44
1658631652,44
1658698082,44
1658768591,44
1658788819,44
1658856132,44
1658878866,44
1658879072,44
1658965232,44
1659041782,44
1659049575,44
1659055055,44
