CODE,RSM333H1-F-20229-LEC-0101,RSM333H1-F-20229-LEC-0201,RSM333H1-F-20229-LEC-0301,RSM333H1-F-20229-LEC-0401
CAP,50,50,50,50
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,4,2,2,2
1657560897,4,2,2,2
1657592482,4,2,2,2
1657598158,4,2,2,2
1657657520,22,31,10,12
1657659549,22,31,10,12
1657678570,22,31,10,12
1657700365,22,31,10,12
1657734871,23,33,9,11
1657736010,23,33,9,11
1657737663,23,33,9,11
1657744779,23,33,9,11
1657780708,23,33,9,11
1657815709,23,33,10,11
1657827433,23,33,10,11
1657841414,23,33,10,11
1657851506,23,33,10,11
1657853745,23,33,10,11
1657868013,23,33,10,11
1657911016,88,78,75,72
1657914736,88,78,75,72
1657938194,88,78,75,72
1657991875,87,78,77,72
1658011950,87,78,77,72
1658085371,88,78,78,74
1658086263,88,78,78,74
1658101142,88,78,78,74
1658101460,88,78,78,74
1658117879,88,78,78,74
1658120793,88,78,78,74
1658149259,89,79,78,74
1658163599,89,79,78,74
1658192570,89,79,78,74
1658255570,92,81,80,77
1658255771,92,81,80,77
1658265950,92,81,80,77
1658282790,92,81,80,77
1658284116,92,81,80,77
1658341001,92,81,80,77
1658425295,93,81,80,77
1658438086,93,81,80,77
1658446145,93,81,80,77
1658446771,93,81,80,77
1658459993,93,81,80,77
1658514122,93,81,80,77
