CODE,RSM333H1-S-20229-LEC-0101,RSM333H1-S-20229-LEC-0201,RSM333H1-S-20229-LEC-0301,RSM333H1-S-20229-LEC-0401,RSM333H1-S-20229-LEC-0501,RSM333H1-S-20229-LEC-0601,RSM333H1-S-20229-LEC-0701,RSM333H1-S-20229-LEC-5101,RSM333H1-S-20229-LEC-5201
CAP,50,50,50,50,50,50,50,50,50
1656647697,0,0,0,0,0,0,0,0,0
1656655667,0,0,0,0,0,0,0,0,0
1656693731,0,0,0,0,0,0,0,0,0
1656799552,0,0,0,0,0,0,0,0,0
1657039041,0,0,0,0,0,0,0,0,0
1657124791,0,0,0,0,0,0,0,0,0
1657129909,0,0,0,0,0,0,0,0,0
1657154834,0,0,0,0,0,0,0,0,0
1657154935,0,0,0,0,0,0,0,0,0
1657157146,0,0,0,0,0,0,0,0,0
1657169433,0,0,0,0,0,0,0,0,0
1657171616,0,0,0,0,0,0,0,0,0
1657208573,0,0,0,0,0,0,0,0,0
1657224158,0,0,0,0,0,0,0,0,0
1657394896,0,0,0,0,0,0,0,0,0
1657522648,1,0,0,0,0,0,0,0,0
1657560905,1,0,0,0,0,0,0,0,0
1657592491,1,0,0,0,0,0,0,0,0
1657598166,1,0,0,0,0,0,0,0,0
1657657537,4,1,3,1,16,15,6,0,3
1657659562,4,1,3,1,16,15,6,0,3
1657678580,4,1,3,1,16,15,6,0,3
1657700377,4,1,3,1,16,15,6,0,3
1657734892,5,0,4,1,17,15,5,0,3
1657736031,5,0,4,1,17,15,5,0,3
1657737680,5,0,4,1,17,15,5,0,3
1657744796,5,0,4,1,17,15,5,0,3
1657780717,5,0,4,1,17,15,5,0,3
1657815723,5,0,3,0,18,16,5,0,3
1657827444,5,0,3,0,18,16,5,0,3
1657841424,5,0,3,0,18,16,5,0,3
1657851524,5,0,3,0,18,16,5,0,3
1657853756,5,0,3,0,18,16,5,0,3
1657868023,5,0,3,0,18,16,5,0,3
1657911025,53,29,56,30,73,66,38,19,13
1657914749,53,29,56,30,73,66,38,19,13
1657938204,53,29,56,30,73,66,38,19,13
1657991885,52,30,55,31,72,64,42,19,14
1658011963,52,30,55,31,72,64,42,19,14
1658085387,51,30,55,31,72,64,44,19,15
1658086283,51,30,55,31,72,64,44,19,15
1658101152,51,30,55,31,72,64,44,19,15
1658101473,51,30,55,31,72,64,44,19,15
1658117893,51,30,55,31,72,64,44,19,15
1658120808,51,30,55,31,72,64,44,19,15
1658149282,51,31,55,32,71,63,44,19,15
1658163609,51,31,55,32,71,63,44,19,15
1658192584,51,31,55,32,71,63,44,19,15
1658255580,63,51,63,55,81,73,51,53,33
1658255781,63,51,63,55,81,73,51,53,33
1658265969,63,51,63,55,81,73,51,53,33
1658282799,63,51,63,55,81,73,51,53,33
1658284132,63,51,63,55,81,73,51,53,33
1658341011,63,51,62,56,81,73,52,54,36
1658425310,62,50,61,54,80,71,51,53,40
1658438101,62,50,61,54,80,71,51,53,40
1658446157,62,50,61,54,80,71,51,53,40
1658446785,62,50,61,54,80,71,51,53,40
1658460004,62,50,61,54,80,71,51,53,40
1658514131,62,51,61,55,79,71,51,54,40
1658536189,62,51,61,55,79,71,51,54,40
1658552506,62,51,61,55,79,71,51,54,40
1658614194,62,51,61,54,79,71,52,54,42
1658631652,62,51,61,54,79,71,52,54,42
1658698082,62,51,61,54,79,71,52,54,42
1658768591,62,51,61,55,79,71,52,53,43
1658788819,62,51,61,55,79,71,52,53,43
1658856132,62,51,61,55,79,71,52,53,45
1658878866,62,51,61,55,79,71,52,53,45
1658879072,62,51,61,55,79,71,52,53,45
1658965232,62,52,62,55,79,71,52,54,46
1659041782,62,52,62,55,79,72,52,53,46
1659049575,62,52,62,55,79,72,52,53,46
1659055055,62,52,62,55,79,72,52,53,46
1659106110,62,51,62,54,79,72,52,52,46
1659116097,62,51,62,54,79,72,52,52,46
1659126308,62,51,62,54,79,72,52,52,46
1659137081,62,51,62,54,79,72,52,52,46
1659154622,62,51,62,54,79,72,52,52,46
1659160562,62,51,62,54,79,72,52,52,46
1659197518,59,52,59,54,77,72,52,52,50
1659228149,59,52,59,54,77,72,52,52,50
1659229856,59,52,59,54,77,72,52,52,50
1659252439,59,52,59,54,77,72,52,52,50
1659298092,59,52,59,54,77,73,52,53,50
