CODE,RSM336H1-S-20229-LEC-0101,RSM336H1-S-20229-LEC-0201,RSM336H1-S-20229-LEC-0301,RSM336H1-S-20229-LEC-0401,RSM336H1-S-20229-LEC-0501,RSM336H1-S-20229-LEC-0601
CAP,50,50,50,50,50,50
1656647697,0,0,0,0,0,0
1656655667,0,0,0,0,0,0
1656693731,0,0,0,0,0,0
1656799552,0,0,0,0,0,0
1657039041,0,0,0,0,0,0
1657124791,0,0,0,0,0,0
1657129909,0,0,0,0,0,0
1657154834,0,0,0,0,0,0
1657154935,0,0,0,0,0,0
1657157146,0,0,0,0,0,0
1657169433,0,0,0,0,0,0
1657171616,0,0,0,0,0,0
1657208573,0,0,0,0,0,0
1657224158,0,0,0,0,0,0
1657394896,0,0,0,0,0,0
1657522648,0,0,0,0,0,0
1657560905,0,0,0,0,0,0
1657592491,0,0,0,0,0,0
1657598166,0,0,0,0,0,0
1657657537,4,2,4,4,4,1
1657659562,4,2,4,4,4,1
1657678580,4,2,4,4,4,1
1657700377,4,2,4,4,4,1
1657734892,4,2,4,5,4,1
1657736031,4,2,4,5,4,1
1657737680,4,2,4,5,4,1
1657744796,4,2,4,5,4,1
1657780717,4,2,4,5,4,1
1657815723,7,2,4,5,4,1
1657827444,7,2,4,5,4,1
1657841424,7,2,4,5,4,1
1657851524,7,2,4,5,4,1
1657853756,7,2,4,5,4,1
1657868023,7,2,4,5,4,1
1657911025,58,59,52,52,32,23
1657914749,58,59,52,52,32,23
1657938204,58,59,52,52,32,23
1657991885,58,58,51,53,37,26
1658011963,58,58,51,53,37,26
1658085387,58,58,51,53,37,26
1658086283,58,58,51,53,37,26
1658101152,58,58,51,53,37,26
1658101473,58,58,51,53,37,26
1658117893,58,58,51,53,37,26
1658120808,58,58,51,53,37,26
1658149282,58,58,51,54,37,26
1658163609,58,58,51,54,37,26
1658192584,58,58,51,54,37,26
1658255580,61,63,55,58,58,44
1658255781,61,63,55,58,58,44
1658265969,61,63,55,58,58,44
1658282799,61,63,55,58,58,44
1658284132,61,63,55,58,58,44
1658341011,61,63,55,58,58,44
1658425310,61,63,55,58,58,48
1658438101,61,63,55,58,58,48
1658446157,61,63,55,58,58,48
1658446785,61,63,55,58,58,48
1658460004,61,63,55,58,58,48
1658514131,62,63,55,58,58,50
