CODE,RSM352H1-F-20229-LEC-5101,RSM352H1-F-20229-LEC-5201
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,31,17
1657659549,31,17
1657678570,31,17
1657700365,31,17
1657734871,30,18
1657736010,30,18
1657737663,30,18
1657744779,30,18
1657780708,30,18
1657815709,30,18
1657827433,30,18
1657841414,30,18
1657851506,30,18
1657853745,30,18
1657868013,30,18
1657911016,79,76
1657914736,79,76
1657938194,79,76
1657991875,79,74
1658011950,79,74
1658085371,79,73
1658086263,79,73
1658101142,79,73
1658101460,79,73
1658117879,79,73
1658120793,79,73
1658149259,79,73
1658163599,79,73
1658192570,79,73
1658255570,83,77
1658255771,83,77
1658265950,83,77
1658282790,83,77
1658284116,83,77
1658341001,84,77
1658425295,84,76
1658438086,84,76
1658446145,84,76
1658446771,84,76
1658459993,84,76
1658514122,84,76
