CODE,RSM433H1-S-20229-LEC-0201,RSM433H1-S-20229-LEC-0301
CAP,50,50
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,39,12
1657659562,39,12
1657678580,39,12
1657700377,39,12
1657734892,39,12
1657736031,39,12
1657737680,39,12
1657744796,39,12
1657780717,39,12
1657815723,39,13
1657827444,39,13
1657841424,39,13
1657851524,39,13
1657853756,39,13
1657868023,39,13
1657911025,74,72
1657914749,74,72
1657938204,74,72
1657991885,74,72
1658011963,74,72
1658085387,74,71
1658086283,74,71
1658101152,74,71
1658101473,74,71
1658117893,74,71
1658120808,74,71
1658149282,74,71
1658163609,74,71
1658192584,74,71
1658255580,74,71
1658255781,74,71
1658265969,74,71
1658282799,74,71
1658284132,74,71
1658341011,73,72
1658425310,73,73
1658438101,73,73
1658446157,73,73
1658446785,73,73
1658460004,73,73
1658514131,73,73
1658536189,73,73
1658552506,73,73
1658614194,73,73
1658631652,73,73
1658698082,73,73
1658768591,73,73
1658788819,73,73
1658856132,73,73
1658878866,73,73
1658879072,73,73
