CODE,RSM437H1-S-20229-LEC-0101,RSM437H1-S-20229-LEC-0201,RSM437H1-S-20229-LEC-0301,RSM437H1-S-20229-LEC-0401,RSM437H1-S-20229-LEC-5101
CAP,50,50,50,50,50
1656647697,0,0,0,0,0
1656655667,0,0,0,0,0
1656693731,0,0,0,0,0
1656799552,0,0,0,0,0
1657039041,0,0,0,0,0
1657124791,0,0,0,0,0
1657129909,0,0,0,0,0
1657154834,0,0,0,0,0
1657154935,0,0,0,0,0
1657157146,0,0,0,0,0
1657169433,0,0,0,0,0
1657171616,0,0,0,0,0
1657208573,0,0,0,0,0
1657224158,0,0,0,0,0
1657394896,0,0,0,0,0
1657522648,0,0,0,0,0
1657560905,0,0,0,0,0
1657592491,0,0,0,0,0
1657598166,0,0,0,0,0
1657657537,47,50,15,32,17
1657659562,47,50,15,32,17
1657678580,47,50,15,32,17
1657700377,47,50,15,32,17
1657734892,49,50,15,31,17
1657736031,49,50,15,31,17
1657737680,49,50,15,31,17
1657744796,49,50,15,31,17
1657780717,49,50,15,31,17
1657815723,49,51,16,32,18
1657827444,49,51,16,32,18
1657841424,49,51,16,32,18
1657851524,49,51,16,32,18
1657853756,49,51,16,32,18
1657868023,49,51,16,32,18
1657911025,55,54,53,54,52
1657914749,55,54,53,54,52
1657938204,55,54,53,54,52
1657991885,55,54,53,54,52
1658011963,55,54,53,54,52
1658085387,55,54,53,54,52
1658086283,55,54,53,54,52
1658101152,55,54,53,54,52
1658101473,55,54,53,54,52
1658117893,55,54,53,54,52
1658120808,55,54,53,54,52
1658149282,56,54,53,54,53
1658163609,56,54,53,54,53
1658192584,56,54,53,54,53
1658255580,56,54,54,54,55
1658255781,56,54,54,54,55
1658265969,56,54,54,54,55
1658282799,56,54,54,54,55
1658284132,56,54,54,54,55
1658341011,57,55,54,54,56
1658425310,57,56,53,53,55
1658438101,57,56,53,53,55
1658446157,57,56,53,53,55
1658446785,57,56,53,53,55
1658460004,57,56,53,53,55
1658514131,57,56,53,53,55
