CODE,RSM498Y1-Y-20229-LEC-0101
CAP,20
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,18
1657659552,18
1657678573,18
1657700368,18
1657734875,18
1657736016,18
1657737668,18
1657744785,18
1657780710,18
1657815712,18
1657827436,18
1657841417,18
1657851515,18
1657853748,18
1657868016,18
1657911019,18
1657914739,18
1657938197,18
1657991877,18
1658011954,18
1658085375,18
1658086268,18
1658101144,18
1658101464,18
1658117882,18
1658120797,18
1658149266,18
1658163601,18
1658192573,18
1658255573,17
1658255774,17
1658265957,17
1658282792,17
1658284123,17
1658341004,17
1658425299,17
1658438090,17
1658446148,17
1658446775,17
1658459996,17
1658514124,17
