CODE,SDS425H1-F-20229-LEC-0101
CAP,20
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,1
1657736010,1
1657737663,1
1657744779,1
1657780708,1
1657815709,1
1657827433,1
1657841414,1
1657851506,1
1657853745,1
1657868013,1
1657911016,4
1657914736,4
1657938194,4
1657991875,5
1658011950,5
1658085371,5
1658086263,5
1658101142,5
1658101460,5
1658117879,5
1658120793,5
1658149259,5
1658163599,5
1658192570,5
1658255570,6
1658255771,6
1658265950,6
1658282790,6
1658284116,6
1658341001,6
1658425295,6
1658438086,6
1658446145,6
1658446771,6
1658459993,6
1658514122,6
1658536177,6
1658552496,6
1658614184,6
1658631640,6
1658698072,6
1658768579,6
1658788810,6
1658856123,6
1658878855,6
1658879061,6
