CODE,SLA106H1-F-20229-LEC-5101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,3
1657659549,3
1657678570,3
1657700365,3
1657734871,3
1657736010,3
1657737663,3
1657744779,3
1657780708,3
1657815709,4
1657827433,4
1657841414,4
1657851506,4
1657853745,4
1657868013,4
1657911016,4
1657914736,4
1657938194,4
1657991875,4
1658011950,4
1658085371,4
1658086263,4
1658101142,4
1658101460,4
1658117879,4
1658120793,4
1658149259,4
1658163599,4
1658192570,4
1658255570,4
1658255771,4
1658265950,4
1658282790,4
1658284116,4
1658341001,4
1658425295,4
1658438086,4
1658446145,4
1658446771,4
1658459993,4
1658514122,6
1658536177,6
1658552496,6
1658614184,6
1658631640,6
1658698072,7
1658768579,7
1658788810,7
1658856123,7
1658878855,7
1658879061,7
1658965224,7
1659041771,7
1659049567,7
1659055044,7
1659106101,7
1659116089,7
1659126296,7
1659137072,7
1659154611,7
1659160554,7
1659197509,8
1659228141,8
1659229848,8
1659252431,8
1659298084,8
