CODE,SLA220Y1-Y-20229-LEC-0101,SLA220Y1-Y-20229-LEC-5101
CAP,30,30
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,0,0
1657560899,0,0
1657592485,0,0
1657598160,0,0
1657657525,5,0
1657659552,5,0
1657678573,5,0
1657700368,5,0
1657734875,5,0
1657736016,5,0
1657737668,5,0
1657744785,5,0
1657780710,5,0
1657815712,6,0
1657827436,6,0
1657841417,6,0
1657851515,6,0
1657853748,6,0
1657868016,6,0
1657911019,8,3
1657914739,8,3
1657938197,8,3
1657991877,8,3
1658011954,8,3
1658085375,8,3
1658086268,8,3
1658101144,8,3
1658101464,8,3
1658117882,8,3
1658120797,8,3
1658149266,8,3
1658163601,8,3
1658192573,8,3
1658255573,9,8
1658255774,9,8
1658265957,9,8
1658282792,9,8
1658284123,9,8
1658341004,9,8
1658425299,10,8
1658438090,10,8
1658446148,10,8
1658446775,10,8
1658459996,10,8
1658514124,11,9
