CODE,SOC100H1-F-20229-LEC-0101,SOC100H1-F-20229-LEC-2000,SOC100H1-F-20229-LEC-2001,SOC100H1-F-20229-LEC-2101,SOC100H1-F-20229-LEC-2201
CAP,1065,25,10,690,10
1656647689,0,0,0,0,0
1656655656,0,0,0,0,0
1656693722,0,0,0,0,0
1656799543,0,0,0,0,0
1657039029,0,0,0,0,0
1657124783,0,0,0,0,0
1657129900,0,0,0,0,0
1657154826,0,0,0,0,0
1657154927,0,0,0,0,0
1657157137,0,0,0,0,0
1657169424,0,0,0,0,0
1657171604,0,0,0,0,0
1657208564,0,0,0,0,0
1657224150,0,0,0,0,0
1657394888,0,0,0,0,0
1657522639,2,0,0,1,0
1657560897,2,0,0,1,0
1657592482,2,0,0,1,0
1657598158,2,0,0,1,0
1657657520,2,0,0,52,0
1657659549,2,0,0,52,0
1657678570,2,0,0,52,0
1657700365,2,0,0,52,0
1657734871,2,0,0,54,0
1657736010,2,0,0,54,0
1657737663,2,0,0,54,0
1657744779,2,0,0,54,0
1657780708,2,0,0,54,0
1657815709,2,1,9,55,15
1657827433,2,1,9,55,15
1657841414,2,1,9,55,15
1657851506,2,1,9,55,15
1657853745,2,1,9,55,15
1657868013,2,1,9,55,15
1657911016,4,1,10,100,15
1657914736,4,1,10,100,15
1657938194,4,1,10,100,15
1657991875,5,1,10,100,15
1658011950,5,1,10,100,15
1658085371,5,1,10,99,15
1658086263,5,1,10,99,15
1658101142,5,1,10,99,15
1658101460,5,1,10,99,15
1658117879,5,1,10,99,15
1658120793,5,1,10,99,15
1658149259,5,1,10,99,15
1658163599,5,1,10,99,15
1658192570,5,1,10,99,15
1658255570,68,1,10,232,16
1658255771,68,1,10,232,16
1658265950,68,1,10,232,16
1658282790,68,1,10,232,16
1658284116,68,1,10,232,16
1658341001,68,1,10,234,16
1658425295,69,1,10,237,16
1658438086,69,1,10,237,16
1658446145,69,1,10,237,16
1658446771,69,1,10,237,16
1658459993,69,1,10,237,16
1658514122,1007,1,10,468,16
1658536177,1007,1,10,468,16
1658552496,1007,1,10,468,16
1658614184,1021,1,10,474,16
1658631640,1021,1,10,474,16
1658698072,1027,1,10,478,16
1658768579,1033,1,10,482,16
1658788810,1033,1,10,482,16
1658856123,1040,1,10,488,16
1658878855,1040,1,10,488,16
1658879061,1040,1,10,488,16
