CODE,SOC202H1-F-20229-LEC-0101,SOC202H1-F-20229-LEC-0201
CAP,100,100
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,7,1
1657659549,7,1
1657678570,7,1
1657700365,7,1
1657734871,8,1
1657736010,8,1
1657737663,8,1
1657744779,8,1
1657780708,8,1
1657815709,7,1
1657827433,7,1
1657841414,7,1
1657851506,7,1
1657853745,7,1
1657868013,7,1
1657911016,33,7
1657914736,33,7
1657938194,33,7
1657991875,35,7
1658011950,35,7
1658085371,35,7
1658086263,35,7
1658101142,35,7
1658101460,35,7
1658117879,35,7
1658120793,35,7
1658149259,35,7
1658163599,35,7
1658192570,35,7
1658255570,90,43
1658255771,90,43
1658265950,90,43
1658282790,90,43
1658284116,90,43
1658341001,92,45
1658425295,93,46
1658438086,93,46
1658446145,93,46
1658446771,93,46
1658459993,93,46
1658514122,97,46
