CODE,SOC250Y1-Y-20229-LEC-5101
CAP,100
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,5
1657659552,5
1657678573,5
1657700368,5
1657734875,5
1657736016,5
1657737668,5
1657744785,5
1657780710,5
1657815712,6
1657827436,6
1657841417,6
1657851515,6
1657853748,6
1657868016,6
1657911019,14
1657914739,14
1657938197,14
1657991877,14
1658011954,14
1658085375,14
1658086268,14
1658101144,14
1658101464,14
1658117882,14
1658120797,14
1658149266,14
1658163601,14
1658192573,14
1658255573,19
1658255774,19
1658265957,19
1658282792,19
1658284123,19
1658341004,18
1658425299,18
1658438090,18
1658446148,18
1658446775,18
1658459996,18
1658514124,21
1658536180,21
1658552499,21
1658614187,19
1658631643,19
1658698075,19
1658768582,19
1658788813,19
1658856126,19
1658878858,19
1658879064,19
1658965226,19
1659041774,19
1659049569,19
1659055046,19
1659106104,19
1659116092,19
1659126300,19
1659137075,19
1659154614,19
1659160556,19
1659197512,19
1659228143,19
1659229850,19
1659252433,19
1659298086,18
