CODE,STA302H1-F-20229-LEC-0101,STA302H1-F-20229-LEC-0201,STA302H1-F-20229-LEC-2001,STA302H1-F-20229-LEC-5101
CAP,230,250,30,250
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,0,0,28,0
1657560897,0,0,28,0
1657592482,0,0,28,0
1657598158,0,0,28,0
1657657520,46,42,28,42
1657659549,46,42,28,42
1657678570,46,42,28,42
1657700365,46,42,28,42
1657734871,45,46,27,42
1657736010,45,46,27,42
1657737663,45,46,27,42
1657744779,45,46,27,42
1657780708,45,46,27,42
1657815709,48,49,30,45
1657827433,48,49,30,45
1657841414,48,49,30,45
1657851506,48,49,30,45
1657853745,48,49,30,45
1657868013,48,49,30,45
1657911016,260,267,30,221
1657914736,260,267,30,221
1657938194,260,267,30,221
1657991875,259,266,30,223
1658011950,259,266,30,223
1658085371,262,264,30,224
1658086263,262,264,30,224
1658101142,262,264,30,224
1658101460,262,264,30,224
1658117879,262,264,30,224
1658120793,262,264,30,224
1658149259,261,266,30,225
1658163599,261,266,30,225
1658192570,261,266,30,225
1658255570,276,292,30,258
1658255771,276,292,30,258
1658265950,276,292,30,258
1658282790,276,292,30,258
1658284116,276,292,30,258
1658341001,267,283,30,251
1658425295,266,284,30,249
1658438086,266,284,30,249
1658446145,266,284,30,249
1658446771,266,284,30,249
1658459993,266,284,30,249
1658514122,268,285,30,251
