CODE,STA314H1-F-20229-LEC-0101,STA314H1-F-20229-LEC-0201
CAP,180,180
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,99,90
1657560897,94,86
1657592482,94,86
1657598158,94,86
1657657520,123,132
1657659549,123,132
1657678570,123,132
1657700365,123,132
1657734871,129,130
1657736010,129,130
1657737663,129,130
1657744779,129,130
1657780708,129,130
1657815709,130,131
1657827433,130,131
1657841414,130,131
1657851506,130,131
1657853745,130,131
1657868013,130,131
1657911016,175,164
1657914736,175,164
1657938194,175,164
1657991875,175,166
1658011950,175,166
1658085371,177,167
1658086263,177,167
1658101142,177,167
1658101460,177,167
1658117879,177,167
1658120793,177,167
1658149259,177,166
1658163599,177,166
1658192570,177,166
1658255570,189,170
1658255771,189,170
1658265950,189,170
1658282790,189,170
1658284116,189,170
1658341001,165,159
1658425295,159,154
1658438086,159,154
1658446145,159,154
1658446771,159,154
1658459993,159,154
1658514122,158,155
1658536177,158,155
1658552496,158,155
1658614184,157,154
1658631640,157,154
1658698072,156,156
1658768579,155,157
1658788810,155,157
1658856123,156,156
1658878855,156,156
1658879061,156,156
