CODE,STA365H1-S-20229-LEC-0101
CAP,200
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,25
1657560905,24
1657592491,24
1657598166,24
1657657537,69
1657659562,69
1657678580,69
1657700377,69
1657734892,70
1657736031,70
1657737680,70
1657744796,70
1657780717,70
1657815723,71
1657827444,71
1657841424,71
1657851524,71
1657853756,71
1657868023,71
1657911025,135
1657914749,135
1657938204,135
1657991885,136
1658011963,136
1658085387,135
1658086283,135
1658101152,135
1658101473,135
1658117893,135
1658120808,135
1658149282,136
1658163609,136
1658192584,136
1658255580,146
1658255781,146
1658265969,146
1658282799,146
1658284132,146
1658341011,148
1658425310,149
1658438101,149
1658446157,149
1658446785,149
1658460004,149
1658514131,149
1658536189,149
1658552506,149
1658614194,150
1658631652,150
1658698082,150
1658768591,149
1658788819,149
1658856132,149
1658878866,149
1658879072,149
1658965232,148
1659041782,146
1659049575,146
1659055055,146
1659106110,144
1659116097,144
1659126308,144
1659137081,144
1659154622,144
1659160562,144
1659197518,150
1659228149,150
1659229856,150
1659252439,150
1659298092,150
