CODE,STA437H1-F-20229-LEC-5101
CAP,200
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,32
1657560897,32
1657592482,32
1657598158,32
1657657520,150
1657659549,150
1657678570,150
1657700365,150
1657734871,153
1657736010,153
1657737663,153
1657744779,153
1657780708,153
1657815709,155
1657827433,155
1657841414,155
1657851506,155
1657853745,155
1657868013,155
1657911016,179
1657914736,179
1657938194,179
1657991875,182
1658011950,182
1658085371,183
1658086263,183
1658101142,183
1658101460,183
1658117879,183
1658120793,183
1658149259,187
1658163599,187
1658192570,187
1658255570,187
1658255771,187
1658265950,187
1658282790,187
1658284116,187
1658341001,188
1658425295,187
1658438086,187
1658446145,187
1658446771,187
1658459993,187
1658514122,188
