CODE,TRN303H1-F-20229-LEC-0101,TRN303H1-F-20229-LEC-0201
CAP,20,20
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,3,7
1657659549,3,7
1657678570,3,7
1657700365,3,7
1657734871,3,7
1657736010,3,7
1657737663,3,7
1657744779,3,7
1657780708,3,7
1657815709,3,7
1657827433,3,7
1657841414,3,7
1657851506,3,7
1657853745,3,7
1657868013,3,7
1657911016,23,22
1657914736,23,22
1657938194,23,22
1657991875,23,22
1658011950,23,22
1658085371,23,22
1658086263,23,22
1658101142,23,22
1658101460,23,22
1658117879,23,22
1658120793,23,22
1658149259,22,21
1658163599,22,21
1658192570,22,21
1658255570,22,21
1658255771,22,21
1658265950,22,21
1658282790,22,21
1658284116,22,21
1658341001,22,21
1658425295,22,21
1658438086,22,21
1658446145,22,21
1658446771,22,21
1658459993,22,21
1658514122,22,22
1658536177,22,22
1658552496,22,22
1658614184,22,22
1658631640,22,22
1658698072,22,22
1658768579,22,22
1658788810,22,22
1658856123,22,22
1658878855,22,22
1658879061,22,22
