CODE,URB339H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,37
1657914749,37
1657938204,37
1657991885,39
1658011963,39
1658085387,39
1658086283,39
1658101152,39
1658101473,39
1658117893,39
1658120808,39
1658149282,39
1658163609,39
1658192584,39
1658255580,47
1658255781,47
1658265969,47
1658282799,47
1658284132,47
1658341011,46
1658425310,46
1658438101,46
1658446157,46
1658446785,46
1658460004,46
1658514131,47
