CODE,VIC185H1-F-20229-LEC-0101
CAP,25
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,22
1657560897,22
1657592482,22
1657598158,22
1657657520,21
1657659549,21
1657678570,21
1657700365,21
1657734871,21
1657736010,21
1657737663,21
1657744779,21
1657780708,21
1657815709,18
1657827433,18
1657841414,18
1657851506,18
1657853745,18
1657868013,18
1657911016,19
1657914736,19
1657938194,19
1657991875,19
1658011950,19
1658085371,19
1658086263,19
1658101142,19
1658101460,19
1658117879,19
1658120793,19
1658149259,19
1658163599,19
1658192570,19
1658255570,19
1658255771,19
1658265950,19
1658282790,19
1658284116,19
1658341001,19
1658425295,21
1658438086,21
1658446145,21
1658446771,21
1658459993,21
1658514122,20
1658536177,20
1658552496,20
1658614184,20
1658631640,20
1658698072,20
1658768579,20
1658788810,20
1658856123,20
1658878855,20
1658879061,20
1658965224,20
1659041771,20
1659049567,20
1659055044,20
