CODE,WGS373H1-F-20229-LEC-0101
CAP,60
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,14
1657659549,14
1657678570,14
1657700365,14
1657734871,14
1657736010,14
1657737663,14
1657744779,14
1657780708,14
1657815709,15
1657827433,15
1657841414,15
1657851506,15
1657853745,15
1657868013,15
1657911016,35
1657914736,35
1657938194,35
1657991875,36
1658011950,36
1658085371,36
1658086263,36
1658101142,36
1658101460,36
1658117879,36
1658120793,36
1658149259,36
1658163599,36
1658192570,36
1658255570,57
1658255771,57
1658265950,57
1658282790,57
1658284116,57
1658341001,57
1658425295,57
1658438086,57
1658446145,57
1658446771,57
1658459993,57
1658514122,57
1658536177,57
1658552496,57
1658614184,57
1658631640,57
1658698072,57
1658768579,57
1658788810,57
1658856123,57
1658878855,57
1658879061,57
