CODE,WGS470Y1-Y-20229-LEC-0101
CAP,10
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,9
1657659552,9
1657678573,9
1657700368,9
1657734875,9
1657736016,9
1657737668,9
1657744785,9
1657780710,9
1657815712,9
1657827436,9
1657841417,9
1657851515,9
1657853748,9
1657868016,9
1657911019,10
1657914739,10
1657938197,10
1657991877,10
1658011954,10
1658085375,10
1658086268,10
1658101144,10
1658101464,10
1658117882,10
1658120797,10
1658149266,10
1658163601,10
1658192573,10
1658255573,10
1658255774,10
1658265957,10
1658282792,10
1658284123,10
1658341004,10
1658425299,10
1658438090,10
1658446148,10
1658446775,10
1658459996,10
1658514124,10
