CODE,WRR103H1-S-20229-LEC-0101,WRR103H1-S-20229-LEC-0201,WRR103H1-S-20229-LEC-2000,WRR103H1-S-20229-LEC-2100
CAP,25,25,25,25
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,0,0
1657560905,0,0,0,0
1657592491,0,0,0,0
1657598166,0,0,0,0
1657657537,3,0,0,0
1657659562,3,0,0,0
1657678580,3,0,0,0
1657700377,3,0,0,0
1657734892,3,0,0,0
1657736031,3,0,0,0
1657737680,3,0,0,0
1657744796,3,0,0,0
1657780717,3,0,0,0
1657815723,4,0,0,0
1657827444,4,0,0,0
1657841424,4,0,0,0
1657851524,4,0,0,0
1657853756,4,0,0,0
1657868023,4,0,0,0
1657911025,4,1,0,0
1657914749,4,1,0,0
1657938204,4,1,0,0
1657991885,4,2,0,0
1658011963,4,2,0,0
1658085387,4,2,0,0
1658086283,4,2,0,0
1658101152,4,2,0,0
1658101473,4,2,0,0
1658117893,4,2,0,0
1658120808,4,2,0,0
1658149282,4,2,0,0
1658163609,4,2,0,0
1658192584,4,2,0,0
1658255580,5,7,0,0
1658255781,5,7,0,0
1658265969,5,7,0,0
1658282799,5,7,0,0
1658284132,5,7,0,0
1658341011,5,7,0,0
1658425310,6,7,0,0
1658438101,6,7,0,0
1658446157,6,7,0,0
1658446785,6,7,0,0
1658460004,6,7,0,0
1658514131,26,26,0,0
