CODE,WRR300H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,8
1657827433,8
1657841414,8
1657851506,8
1657853745,8
1657868013,8
1657911016,17
1657914736,17
1657938194,17
1657991875,17
1658011950,17
1658085371,17
1658086263,17
1658101142,17
1658101460,17
1658117879,17
1658120793,17
1658149259,17
1658163599,17
1658192570,17
1658255570,20
1658255771,20
1658265950,20
1658282790,20
1658284116,20
1658341001,20
1658425295,21
1658438086,21
1658446145,21
1658446771,21
1658459993,21
1658514122,22
1658536177,22
1658552496,22
1658614184,23
1658631640,23
1658698072,23
1658768579,23
1658788810,23
1658856123,23
1658878855,23
1658879061,23
1658965224,23
1659041771,22
1659049567,22
1659055044,22
